accession,pathogenic
PV391238.1,low_pathogenic
PV391260.1,low_pathogenic
PV391257.1,low_pathogenic
PV391227.1,low_pathogenic
PV391221.1,low_pathogenic
PV391194.1,low_pathogenic
PV391211.1,low_pathogenic
PV391210.1,low_pathogenic
PV391209.1,low_pathogenic
PV391187.1,low_pathogenic
PV391172.1,low_pathogenic
PV391162.1,low_pathogenic
PV391132.1,low_pathogenic
PV391131.1,low_pathogenic
PV391114.1,low_pathogenic
PV391122.1,low_pathogenic
PV391093.1,low_pathogenic
PV391110.1,low_pathogenic
PV391051.1,low_pathogenic
PV391049.1,low_pathogenic
PV391027.1,high_pathogenic
PV391040.1,low_pathogenic
PV389911.1,low_pathogenic
PV389721.1,high_pathogenic
PV389720.1,high_pathogenic
PV389718.1,high_pathogenic
PV389717.1,low_pathogenic
PV389715.1,low_pathogenic
PV389714.1,low_pathogenic
PV389708.1,low_pathogenic
PV389699.1,low_pathogenic
PV389692.1,high_pathogenic
PV389683.1,low_pathogenic
PV389676.1,high_pathogenic
PV389664.1,low_pathogenic
PV389652.1,low_pathogenic
PV389644.1,low_pathogenic
PV389632.1,high_pathogenic
PV389630.1,high_pathogenic
PV389629.1,high_pathogenic
PV389628.1,high_pathogenic
PV389623.1,high_pathogenic
PV389619.1,low_pathogenic
PV389598.1,low_pathogenic
PV389583.1,low_pathogenic
PV389586.1,low_pathogenic
PV389585.1,low_pathogenic
PV389573.1,high_pathogenic
PV389572.1,high_pathogenic
PV389564.1,low_pathogenic
PV389557.1,high_pathogenic
PV389509.1,low_pathogenic
PV389498.1,high_pathogenic
PV389483.1,low_pathogenic
PV389482.1,low_pathogenic
PV389458.1,high_pathogenic
PV389460.1,low_pathogenic
PV389447.1,high_pathogenic
PV389432.1,low_pathogenic
PV389209.1,low_pathogenic
PV389201.1,low_pathogenic
PV389200.1,low_pathogenic
PV389187.1,high_pathogenic
PV389185.1,high_pathogenic
PV389162.1,low_pathogenic
PV389157.1,high_pathogenic
PV389142.1,low_pathogenic
PV389075.1,high_pathogenic
PV389069.1,high_pathogenic
PV389067.1,low_pathogenic
PV389062.1,low_pathogenic
PV389058.1,low_pathogenic
PV388432.1,low_pathogenic
PV388430.1,low_pathogenic
PV388392.1,low_pathogenic
PV388383.1,high_pathogenic
PV388377.1,high_pathogenic
PV388367.1,high_pathogenic
PV388366.1,high_pathogenic
PV388365.1,high_pathogenic
PV388364.1,high_pathogenic
PV388363.1,high_pathogenic
PV388348.1,low_pathogenic
PV388340.1,high_pathogenic
PV388292.1,high_pathogenic
PV388271.1,low_pathogenic
PV388270.1,low_pathogenic
PV388266.1,low_pathogenic
PV388259.1,high_pathogenic
PV388213.1,high_pathogenic
PV388210.1,low_pathogenic
PV388205.1,low_pathogenic
PV388180.1,high_pathogenic
PV388176.1,high_pathogenic
PV388191.1,low_pathogenic
PV388190.1,low_pathogenic
PV388172.1,high_pathogenic
PV388167.1,high_pathogenic
PV388163.1,high_pathogenic
PV388155.1,high_pathogenic
PV388145.1,low_pathogenic
PV388137.1,high_pathogenic
PV388056.1,high_pathogenic
PV388048.1,high_pathogenic
PV388046.1,high_pathogenic
PV388039.1,high_pathogenic
PV388024.1,high_pathogenic
PV388014.1,high_pathogenic
PV388023.1,high_pathogenic
PV387997.1,high_pathogenic
PV387992.1,high_pathogenic
PV387981.1,low_pathogenic
PV387976.1,low_pathogenic
PV387962.1,low_pathogenic
PV387952.1,high_pathogenic
PV387950.1,high_pathogenic
PV387933.1,high_pathogenic
PV387924.1,high_pathogenic
PV387910.1,low_pathogenic
PV387891.1,low_pathogenic
PV387882.1,low_pathogenic
PV387877.1,low_pathogenic
PV387863.1,high_pathogenic
PV387857.1,high_pathogenic
PV387828.1,high_pathogenic
PV387815.1,high_pathogenic
PV387747.1,high_pathogenic
PV387735.1,high_pathogenic
PV387725.1,high_pathogenic
PV387719.1,high_pathogenic
PV387713.1,low_pathogenic
PV387710.1,high_pathogenic
PV387631.1,high_pathogenic
PV387621.1,low_pathogenic
PV387619.1,low_pathogenic
PV387611.1,high_pathogenic
PV387615.1,low_pathogenic
PV387603.1,high_pathogenic
PV387600.1,high_pathogenic
PV387599.1,high_pathogenic
PV387583.1,low_pathogenic
PV387575.1,high_pathogenic
PV387554.1,high_pathogenic
PV387565.1,high_pathogenic
PV387559.1,low_pathogenic
PV387555.1,low_pathogenic
PV387533.1,high_pathogenic
PV387532.1,high_pathogenic
PV387528.1,low_pathogenic
PQ108643.1,high_pathogenic
PQ108638.1,high_pathogenic
PQ108632.1,high_pathogenic
PQ108623.1,high_pathogenic
PQ108621.1,high_pathogenic
PQ108619.1,high_pathogenic
PQ108617.1,high_pathogenic
PP995022.1,high_pathogenic
PE016852.1,low_pathogenic
LY802171.1,high_pathogenic
LY802170.1,high_pathogenic
KY684355.1,high_pathogenic
KY684349.1,high_pathogenic
KY684342.1,high_pathogenic
KY684336.1,low_pathogenic
KY684332.1,low_pathogenic
KY684327.1,low_pathogenic
KY684323.1,low_pathogenic
KY684316.1,low_pathogenic
KY684315.1,low_pathogenic
KY684314.1,low_pathogenic
KY684307.1,low_pathogenic
KY684305.1,low_pathogenic
KY684294.1,high_pathogenic
MF357836.1,low_pathogenic
MF357823.1,high_pathogenic
MF357821.1,high_pathogenic
MF357796.1,low_pathogenic
MF357788.1,low_pathogenic
MF357780.1,high_pathogenic
MF357774.1,high_pathogenic
MF357772.1,high_pathogenic
MF357767.1,high_pathogenic
MF357753.1,high_pathogenic
MF357752.1,high_pathogenic
MF357744.1,high_pathogenic
MF357722.1,low_pathogenic
MF357720.1,low_pathogenic
MF357717.1,low_pathogenic
KY818838.1,high_pathogenic
KY818830.1,low_pathogenic
KY818828.1,low_pathogenic
KY818826.1,low_pathogenic
CY062536.1,high_pathogenic
DQ826532.3,low_pathogenic
GQ921322.1,low_pathogenic
FJ384758.1,high_pathogenic
FJ384747.1,high_pathogenic
FJ384746.1,high_pathogenic
EF190983.1,low_pathogenic
EF190982.1,low_pathogenic
